No,type,lifespan,thorax,sleep
1,3,35,0.64,22
2,3,37,0.68,9
3,3,49,0.68,49
4,3,46,0.72,1
5,3,63,0.72,23
6,3,39,0.76,83
7,3,46,0.76,23
8,3,56,0.76,15
9,3,63,0.76,9
10,3,65,0.76,81
11,3,56,0.8,12
12,3,65,0.8,15
13,3,70,0.8,37
14,3,63,0.84,24
15,3,65,0.84,26
16,3,70,0.84,17
17,3,77,0.84,14
18,3,81,0.84,14
19,3,86,0.84,6
20,3,70,0.88,25
21,3,70,0.88,18
22,3,77,0.92,26
23,3,77,0.92,24
24,3,81,0.92,29
25,3,77,0.94,27
1,1,40,0.64,18
2,1,37,0.7,6
3,1,44,0.72,19
4,1,47,0.72,7
5,1,47,0.72,16
6,1,47,0.76,13
7,1,68,0.78,35
8,1,47,0.8,2
9,1,54,0.84,35
10,1,61,0.84,6
11,1,71,0.84,15
12,1,75,0.84,14
13,1,89,0.84,18
14,1,58,0.88,50
15,1,59,0.88,25
16,1,62,0.88,10
17,1,79,0.88,33
18,1,96,0.88,43
19,1,58,0.92,35
20,1,62,0.92,17
21,1,70,0.92,27
22,1,72,0.92,22
23,1,75,0.92,16
24,1,96,0.92,20
25,1,75,0.94,37
1,2,46,0.64,23
2,2,42,0.68,4
3,2,65,0.72,20
4,2,46,0.76,42
5,2,58,0.76,9
6,2,42,0.8,32
7,2,48,0.8,66
8,2,58,0.8,28
9,2,50,0.82,10
10,2,80,0.82,4
11,2,63,0.84,12
12,2,65,0.84,17
13,2,70,0.84,12
14,2,70,0.84,23
15,2,72,0.84,40
16,2,97,0.84,18
17,2,46,0.88,10
18,2,56,0.88,38
19,2,70,0.88,7
20,2,70,0.88,23
21,2,72,0.88,36
22,2,76,0.88,9
23,2,90,0.88,21
24,2,76,0.92,62
25,2,92,0.92,36
1,4,21,0.68,23
2,4,40,0.68,62
3,4,44,0.72,28
4,4,54,0.76,18
5,4,36,0.78,10
6,4,40,0.8,28
7,4,56,0.8,22
8,4,60,0.8,29
9,4,48,0.84,15
10,4,53,0.84,73
11,4,60,0.84,10
12,4,60,0.84,5
13,4,65,0.84,13
14,4,68,0.84,27
15,4,60,0.88,20
16,4,81,0.88,21
17,4,81,0.88,12
18,4,48,0.9,49
19,4,48,0.9,17
20,4,56,0.9,22
21,4,68,0.9,71
22,4,75,0.9,17
23,4,81,0.9,10
24,4,48,0.92,24
25,4,68,0.92,18
1,5,16,0.64,34
2,5,19,0.64,6
3,5,19,0.68,4
4,5,32,0.72,22
5,5,33,0.72,28
6,5,33,0.74,31
7,5,30,0.76,16
8,5,42,0.76,27
9,5,42,0.76,8
10,5,33,0.78,32
11,5,26,0.8,20
12,5,30,0.8,35
13,5,40,0.82,12
14,5,54,0.82,14
15,5,34,0.84,17
16,5,34,0.84,29
17,5,47,0.84,31
18,5,47,0.84,6
19,5,42,0.88,30
20,5,47,0.88,27
21,5,54,0.88,40
22,5,54,0.88,19
23,5,56,0.88,8
24,5,60,0.88,8
25,5,44,0.92,15
